Team1,symbol,Team2,Year,Date,MonthNo,DayNum,Time,Week,Game,Weekday,Team1WL,Team1Pts,Team2Pts,Margin,OT,Spread,vsLine,OU,OU Result
CLE,@,BAL,2013,2013-09-15,9,15,1:02,2,2,Sun,L,6,14,-8,,7,not covered,43.5,under
CLE,@,MIN,2013,2013-09-22,9,22,1:05,3,3,Sun,W,31,27,4,,7,covered,40,over
CLE,@,KAN,2013,2013-10-27,10,27,1:02,8,8,Sun,L,17,23,-6,,7,covered,39,over
IND,@,CIN,2013,2013-12-08,12,8,1:02,14,13,Sun,L,28,42,-14,,7,not covered,43,over
IND,@,KAN,2013,2013-12-22,12,22,1:02,16,15,Sun,W,23,7,16,,7,covered,46.5,under
NYJ,@,MIA,2013,2013-12-29,12,29,1:02,17,16,Sun,W,20,7,13,,7,covered,41,under
OAK,@,NYG,2013,2013-11-10,11,10,1:03,10,9,Sun,L,20,24,-4,,7,covered,41.5,over
STL,@,CAR,2013,2013-10-20,10,20,1:03,7,7,Sun,L,15,30,-15,,7,not covered,42,over
STL,@,IND,2013,2013-11-10,11,10,1:03,10,10,Sun,W,38,8,30,,7,covered,43,over
BAL,@,CIN,2013,2013-12-29,12,29,1:02,17,16,Sun,L,17,34,-17,,7,not covered,43,over
TAM,@,DET,2013,2013-11-24,11,24,1:03,12,11,Sun,W,24,21,3,,7,covered,48.5,under
BUF,@,MIA,2013,2013-10-20,10,20,1:02,7,7,Sun,W,23,21,2,,6.5,covered,43.5,over
HOU,@,TEN,2013,2013-12-29,12,29,1:02,17,16,Sun,L,10,16,-6,,6.5,covered,44.5,under
MIN,@,CHI,2013,2013-09-15,9,15,1:03,2,2,Sun,L,30,31,-1,,6.5,covered,41,over
PIT,@,CIN,2013,2013-09-16,9,16,8:41,2,2,Mon,L,10,20,-10,,6.5,not covered,40,under
TAM,@,ATL,2013,2013-10-20,10,20,1:02,7,6,Sun,L,23,31,-8,,6.5,not covered,43,over
TAM,@,CAR,2013,2013-12-01,12,1,1:04,13,12,Sun,L,6,27,-21,,6.5,not covered,41,under
GNB,@,DET,2013,2013-11-28,11,28,12:36,13,12,Thu,L,10,40,-30,,6,not covered,48.5,over
HOU,@,KAN,2013,2013-10-20,10,20,4:26,7,7,Sun,L,16,17,-1,,6,covered,38.5,under
HOU,@,IND,2013,2013-12-15,12,15,1:02,15,14,Sun,L,3,25,-22,,6,not covered,47,under
MIN,@,BAL,2013,2013-12-08,12,8,1:03,14,13,Sun,L,26,29,-3,,6,covered,41.5,over
TEN,@,PIT,2013,2013-09-08,9,8,1:02,1,1,Sun,W,16,9,7,,6,covered,42,under
